141,Консультаційні послуги з питань підприємницької діяльності та управління
142,Телекомунікаційне супутникове обладнання
143,Генератори
144,"Запасні частини до вантажних транспортних засобів, фургонів та легкових автомобілів"
145,Вентилятори та кондиціонери
146,Послуги зі спорожнення вигрібних ям і септиків
147,Інвентар для фітнесу
148,Послуги з прання і сухого чищення
149,Послуги з ремонту і технічного обслуговування протипожежного обладнання
150,Зубчасті колеса та зубчасті передачі
151,Радіологічна плівка
152,Свинина
153,Газети
154,Покривання підлоги та стін
155,Розподіл електричної енергії
156,Столярні та теслярні роботи
157,Апаратура для запису та відтворення аудіо- та відеоматеріалу
158,Експлуатація електричних установок
159,Питна вода
160,Фарби
161,"Архітектурні, інженерні та геодезичні послуги"
162,"Лікарські засоби для лікування захворювань крові, органів кровотворення та захворювань серцево-судинної системи"
163,Шини для транспортних засобів великої та малої тоннажності
164,Промислові гази
165,Молоко та вершки
166,Планшетні комп’ютери
167,Злакові продукти
168,"Офісні техніка, устаткування та приладдя, крім комп’ютерів, принтерів та меблів"
169,Централізоване опалення
170,Електрохірургічні прилади
171,Телевізійні послуги
172,Картопля
173,Паливна деревина
174,"Будівництво трубопроводів, ліній зв’язку та електропередач, шосе, доріг, аеродромів і залізничних доріг; вирівнювання поверхонь"
175,Послуги з організації харчування
176,Аксесуари до робочого одягу
177,Продукція тваринництва та супутня продукція
178,Послуги швидкої медичної допомоги
179,"Овочі, фрукти та горіхи"
180,Водопровідні та санітарно-технічні роботи
181,"Послуги з ремонту і технічного обслуговування вимірювальних, випробувальних і контрольних приладів"
182,Частини для сільськогосподарської та лісогосподарської техніки
183,Розподільні коробки
184,Послуги з ремонту і технічного обслуговування систем центрального опалення
185,Послуги зі встановлення електричного обладнання
186,Послуги різні
187,Прокат обладнання з оператором для виконання земляних робіт
188,Додаткові інформаційні послуги
189,Розподіл води
190,Частини для сільськогосподарської техніки
191,Яловичина
192,"Апаратура для радіотерапії, механотерапії, електротерапії та фізичної терапії"
193,Гумові вироби
194,Мастильні засоби
195,"Знаряддя, замки, ключі, петлі, кріпильні деталі, ланцюги та пружини"
196,Лічильні прилади
197,Дизельне паливо
198,Молоко
199,Будівельні матеріали
200,Будівельні роботи та поточний ремонт
201,Дощовики
202,Деревина
203,Какао; шоколад та цукрові кондитерські вироби
204,Послуги з ремонту і технічного обслуговування медичного обладнання
205,Модульні та переносні споруди
206,Охоронні послуги
207,Підрізання дерев і живих огорож
208,"Зведення огорож, монтаж поручнів і захисних засобів"
209,Природний газ
210,Макаронні вироби
211,Мішки та пакети
212,Технічне обслуговування і ремонт копіювально-розмножувальної техніки
213,Послуги з виробництва кіно- та відеопродукції
214,Сіль
215,Послуги з транслювання теле- та радіопередач
216,Електромонтажні роботи
217,Світловідбивні жилети
218,Кондиціонери
219,"Цистерни, резервуари, контейнери та посудини високого тиску"
220,Руйнування та знесення будівель і земляні роботи
221,Ковбаси
222,Подарунки та нагороди
223,Цукор і супутня продукція
224,Абразивні вироби
225,Молочні продукти різні
